"point_id","istimelapse"
"R1",7593
"R12",7681
"R13",7539
"R14",7591
"R15",7552
"R16",6032
"R17",6064
"R19",7712
"R2",4273
"R20",3350
"R21",7683
"R22",7566
"R24",7579
"R27",5373
"R28",12497
"R29",12506
"R3",114
"R30",7750
"R31",7524
"R32",6018
"R33",7576
"R34",5980
"R35",6074
"R36",4546
"R37",7445
"R39",4154
"R4",3082
"R40",12396
"R41",7512
"R42",6022
"R43",7620
"R44",6053
"R45",6030
"R46",7734
"R47",5616
"R48",7380
"R49",12533
"R5",2235
"R50",12537
"R51",7584
"R52",7560
"R53",7598
"R54",578
"R55",6006
"R56",7776
"R57",7566
"R59",7228
"R60",5884
"R61",34
"R62",506
"R63",6079
"R64",7575
"R65",7098
"R66",7787
"R67",176
"R69",7570
"R7",7595
"R70",6036
"R72",7597
"R73",7385
"R74",2818
"R75",7791
"R76",7873
"R77",2782
"R79",2772
"R8",7603
"R81",7536
"R82",3880
"R83",7538
"R84",7405
"R85",7483
"R88",7012
"R89",7550
"R9",7498
"RG86",5962
"RG87",320
"RG90",7515
